text,count
CAMEROON?/WEST AFRICA,1
"ZAMBIA?, ZIMBABWE?",1
SOUTH AFRICA?/BOTSWANA?,1
"BOTSWANA?, NAMIBIA?",1
"CONGO (BELGIAN CONGO)?, BENIN?",1
WEST AFRICA/BENIN/CONGO,1
"AFRICA?, PERU?",1
"GHANA?, CAMEROON?",1
NIGER?,1
BURUNDI?,1
"CONGO (BELGIAN CONGO)?, TANZANIA?",1
NORTH WEST AFRICA,1
CENTRAL AFRICA/ZAIRE,1
"ZAMBIA?, BOTSWANA?",1
SOUTH AFRICA/ZAMBIA?,1
WEST AFRICA/GHANA?,1
WEST AFRICA/NIGERIA?,1
"ANGOLA?, COASTAL ZAIRE?",1
"ANGOLA?, CONGO? (BELGIAN CONGO?)",1
CENTRAL AFRICA/UGANDA,1
NORTHERN AFRICA/SUDAN?,1
"SOMALIA?, SUDAN?",1
"SUDAN?, ETHIOPIA?",1
NORTHEAST AFRICA/ZAIRE?,1
EAST AFRICA/SUDAN?,1
"TANZANIA?, ZAIRE?",1
PORTUGUESE WEST AFRICA/ANGOLA?,1
ISLE OF PERIM,1
EQUATORIAL AFRICA,1
WEST AFRICA?/LIBERIA?,1
NORTH AFRICA/ALGERIA?,1
"ZIMBABWE?, ZAMBIA?",1
WEST AFRICA/GABON,1
SOUTH AFRICA/ZIMBABWE,1
ZIMBABWE?/SOUTH AFRICA,1
NORTH AFRICA/NORTH SUDAN?,1
FRENCH WEST AFRICA?/NIGERIA,1
CAMEROON (FRENCH CAMEROON?),1
"ETHIOPIA?, KENYA?",1
"KENYA?, TANZANIA?",1
"GHANA?, TOGO?",1
CONGO?/SOUTHWEST AFRICA?,1
MALAWI,1
SOUTH AFRICA/BOTSWANA?,1
PORTUGUESE WEST AFRICA/NAMIBIA?,1
"ZIMBABWE?, MOZAMBIQUE?",1
"GABON?, ANGOLA?",1
NORTH AFRICA?/MOROCCO?,1
SOUTHWEST AFRICA?/ZAIRE?,1
"MALI?, COTE D'IVOIRE?",1
FRENCH MOROCCO,1
EAST AFRICA/UGANDA,1
"EAST AFRICA?, CENTRAL AFRICA?",1
EAST AFRICA/ZAIRE?,1
EAST AFRICA/ZAMBIA?,1
"MALI?, BURKINA FASO? GUINEA?",1
LIBYA,1
FRENCH EQUATORIAL AFRICA/GABON,1
FRENCH EQUATORIAL AFRICA/ZAIRE,1
FRENCH EQUATORIAL AFRICA/ZAIRE?,1
CAMEROON (FRENCH EQUATORIAL AFRICA),1
CONGO (FRENCH EQUATORIAL AFRICA),1
"COTE D'IVOIRE?, GUINEA?",1
WEST AFRICA?/GABON?,1
EAST AFRICA/SOMALIA?,1
"SUDAN?, ZAIRE?",1
"SUDAN?, UGANDA?",1
"GUINEA?, GABON?",1
"KENYA?, MALAWI?",1
"CENTRAL AFRICA?, SOUTH AFRICA?",1
NORTH AFRICA/MOROCCO,1
"SENEGAL?, USA?",1
"SOMALIA?, ERITREA?",1
"UGANDA?, KENYA?",1
"KENYA?, SOMALIA?",1
SOUTH AFRICA?/MOZAMBIQUE,1
PORTUGUESE EAST AFRICA/SOUTH AFRICA?,1
"SOUTH AFRICA?, NORTH AFRICA?",1
"ZAIRE?, SUDAN?",1
ZAIRE?/CENTRAL AFRICA?,1
"BOTSWANA?, ANGOLA?",1
"RWANDA?, ZAIRE?",1
"TANZANIA?, KENYA?",1
"ZAIRE?, ZAMBIA?",1
"ANGOLA?, ZAIRE?",1
"CAMEROON?, ZAIRE?",1
"UGANDA?, RWANDA?",1
"NIGER?, MALI?",1
CAMEROON/CHAD,1
DJIBOUTI,1
SENEGAL?,1
"SOMALIA?, ETHIOPIA?",1
"AFRICA?, USA?",1
"BENIN?, WEST AFRICA?",1
"ETHIOPIA?, NIGERIA?",1
NORTHERN AFRICA?,1
ZAMBIA?/NORTH AFRICA?,1
"AFRICA?, SOUTH AMERICA?",1
EAST AFRICA?/KENYA,1
NORTH AFRICA?/NIGERIA?,1
NICARAGUA/COSTA RICA,1
HONDURAS?,1
NICARAGUA?,1
GUATEMALA?/BELIZE?,1
